subject,relation,object
mailbox,hypernym,box
coleslaw,hypernym,salad
taxi,hypernym,car
taxi,hypernym,machine
child,synonym,kid
child,synonym,fry
child,hyponym,monkey
child,hyponym,toddler
child,hyponym,peanut
foam,hypernym,bubble
foam,hyponym,head
over,hypernym,part
manicured,hypernym,cut
bedding,hyponym,blanket
bedding,hyponym,cover
bedding,hyponym,bedspread
bedding,hyponym,spread
bedding,hyponym,comforter
factory,hypernym,plant
rustic,hyponym,cracker
trash,hypernym,waste
receipt,hypernym,getting
blond,hypernym,person
leaving,synonym,going
leaving,hyponym,boarding
blanket,synonym,cover
blanket,hypernym,bedding
couch,synonym,sofa
couch,hypernym,seat
roadway,hypernym,road
close,hypernym,end
guacamole,hypernym,dip
denim,synonym,jean
denim,hypernym,pant
device,hyponym,charger
device,hyponym,router
device,hyponym,toy
device,hyponym,alarm
device,hyponym,magnet
device,hyponym,comb
device,hyponym,heater
device,hyponym,machine
device,hyponym,lift
device,hyponym,support
device,hyponym,fan
device,hyponym,horn
device,hyponym,light
device,hyponym,feeder
device,hyponym,keyboard
device,hyponym,comforter
device,hyponym,remote
device,hyponym,appliance
device,hyponym,gadget
device,hyponym,foil
device,hyponym,safety
device,hyponym,extinguisher
smoking,synonym,smoke
empty,hypernym,container
wave,hyponym,lift
wave,hyponym,rippling
wave,hyponym,roll
hung,synonym,hang
toast,hypernym,bread
money,hyponym,bread
money,hyponym,cabbage
money,hyponym,dough
money,hyponym,lettuce
money,hyponym,sugar
forested,synonym,forest
forested,hypernym,plant
number,synonym,figure
spotted,synonym,spot
chair,hypernym,seat
chair,hyponym,wheelchair
chair,hyponym,armchair
officer,hypernym,man
stacked,synonym,stack
aluminum,hypernym,metal
boy,hypernym,male
doll,hypernym,toy
bed,hyponym,couch
bed,hyponym,sack
entering,synonym,entrance
sail,synonym,sheet
chili,hypernym,dish
helping,synonym,serving
helping,hyponym,round
helping,hyponym,drink
helping,hyponym,wing
tag,hypernym,label
family,synonym,house
family,synonym,home
pastry,hypernym,dough
getting,hyponym,catching
getting,hyponym,receipt
toasted,synonym,toast
toasted,synonym,crisp
double,hypernym,safety
lined,synonym,line
draped,synonym,drape
skateboarder,hypernym,skater
suspended,hypernym,hang
luggage,hyponym,trunk
luggage,hyponym,bag
luggage,hyponym,suitcase
shuttle,synonym,bird
corded,synonym,cord
corded,hypernym,stack
shorter,synonym,short
air,hypernym,gas
shield,hyponym,plate
artwork,hyponym,drawing
garbage,hypernym,waste
polished,synonym,smooth
bread,hyponym,toast
bread,hyponym,bun
bread,hyponym,roll
bread,hyponym,cracker
feathered,synonym,feather
brick,hypernym,ceramic
woman,hypernym,adult
woman,hypernym,female
woman,hyponym,girl
woman,hyponym,lady
woman,hyponym,peach
woman,hyponym,dish
woman,hyponym,cat
sitting,synonym,posing
bus,synonym,coach
meal,hyponym,breakfast
meal,hyponym,dinner
meal,hyponym,tea
meal,hyponym,snack
meal,hyponym,picnic
meal,hyponym,spread
refrigerator,hyponym,cooler
sugar,hyponym,caramel
player,hyponym,seed
food,hyponym,beverage
food,hyponym,drink
food,hyponym,water
parrot,hypernym,bird
cupcake,hypernym,cake
mound,synonym,hill
suv,hypernym,car
suv,hypernym,machine
looking,synonym,lookingAt
looking,hyponym,watching
menu,synonym,card
vast,synonym,huge
butter,hypernym,food
butter,hyponym,stick
car,synonym,machine
car,hyponym,jeep
car,hyponym,electric
car,hyponym,taxi
car,hyponym,minivan
car,hyponym,bus
car,hyponym,ambulance
car,hyponym,wagon
formal,synonym,ball
broom,hyponym,whisk
post,synonym,station
marina,hypernym,dock
plugged,hypernym,close
boat,hyponym,tower
boat,hyponym,cutter
boat,hyponym,packet
skateboard,hypernym,board
breaking,hyponym,chip
ceramic,hyponym,brick
complete,hypernym,end
complete,hyponym,close
complete,hyponym,top
statue,hypernym,sculpture
pizza,hypernym,dish
railroad,hypernym,line
railroad,hyponym,elevated
toy,hyponym,top
toy,hyponym,teddy
toy,hyponym,ball
toy,hyponym,balloon
toy,hyponym,kite
toy,hyponym,doll
stack,hypernym,mound
beneath,synonym,below
field,hyponym,lawn
field,hyponym,yard
garnish,hypernym,decoration
garnish,hypernym,ornament
garnish,hyponym,topping
canopy,hypernym,covering
holder,hyponym,keyboard
holder,hyponym,pin
kitchen,hypernym,room
minivan,hypernym,car
minivan,hypernym,machine
rooftop,hypernym,top
rooftop,hypernym,upside
tinted,hypernym,color
browned,synonym,brown
apartment,synonym,flat
bathroom,synonym,bath
bathroom,hypernym,room
cloth,synonym,material
cloth,hyponym,net
cloth,hyponym,mesh
cloth,hyponym,lace
cloth,hyponym,knit
cloth,hyponym,cotton
cloth,hyponym,wool
cloth,hyponym,calico
cloth,hyponym,metallic
cloth,hyponym,cord
cloth,hyponym,denim
cloth,hyponym,jean
cloth,hyponym,duck
cloth,hyponym,diaper
cloth,hyponym,plush
cloth,hyponym,plaid
cloth,hyponym,hair
cloth,hyponym,silk
cloth,hyponym,khaki
cloth,hyponym,canopy
broth,hypernym,soup
pulling,hyponym,drawing
guy,synonym,cat
guy,hypernym,man
dispenser,hypernym,container
undershirt,synonym,vest
wheel,hypernym,machine
opening,hyponym,pocket
opening,hyponym,window
opening,hyponym,mouth
murky,synonym,cloudy
murky,synonym,muddy
carrying,hyponym,bear
carrying,hyponym,cart
carrying,hyponym,bucket
symbol,hypernym,sign
symbol,hyponym,number
symbol,hyponym,nose
symbol,hyponym,marker
steak,hypernym,cut
decorated,synonym,ornament
decorated,hyponym,color
decorated,hyponym,bead
decorated,hyponym,pipe
decorated,hyponym,flag
decorated,hyponym,panel
decorated,hyponym,stick
decorated,hyponym,deck
decorated,hyponym,hang
decorated,hyponym,garland
decorated,hyponym,garnish
decorated,hyponym,dress
faucet,hyponym,hydrant
headboard,hypernym,panel
fried,synonym,fry
bagel,hypernym,bun
bagel,hypernym,roll
end,synonym,terminal
end,hyponym,heel
end,hyponym,goal
end,hyponym,pole
resting,hyponym,stand
displayed,synonym,display
displayed,hyponym,open
displayed,hyponym,bench
displayed,hyponym,produce
displayed,hyponym,moon
gravy,hypernym,sauce
dried,synonym,dry
dried,hyponym,air
side,hypernym,part
side,hyponym,hand
catching,hypernym,playing
