subject,relation,object
connected,synonym,tie
longer,hypernym,person
pepperoni,hypernym,sausage
roasted,synonym,roast
lawn,hypernym,field
sausage,hypernym,meat
sweater,hypernym,garment
along,synonym,on
caucasian,hypernym,person
dangling,synonym,hanging
dangling,hypernym,support
grilled,synonym,grill
feeding,synonym,eating
carved,hypernym,shape
carved,hypernym,cut
video,synonym,picture
front,hypernym,side
front,hypernym,face
brunette,hypernym,person
sealed,synonym,seal
sealed,hypernym,close
sealed,hypernym,shut
curtain,synonym,drape
curtain,hypernym,blind
curtain,hypernym,screen
hoof,hypernym,foot
comb,hypernym,device
water,hypernym,liquid
mos,synonym,minute
mos,synonym,second
glossy,hypernym,magazine
rib,hypernym,support
exterior,hypernym,part
hang,synonym,bent
hang,hypernym,gift
console,hypernym,table
powdered,synonym,powder
taller,synonym,tall
paw,hypernym,foot
computer,hypernym,machine
daisy,hypernym,flower
bunched,synonym,bunch
serving,synonym,helping
girl,hypernym,woman
tooth,hypernym,bone
doorway,synonym,door
doorway,hypernym,entrance
sack,hypernym,bag
watermelon,hypernym,melon
counter,hypernym,table
roast,hypernym,cut
thick,hypernym,inside
bicycle,synonym,bike
bicycle,synonym,wheel
snowboard,hypernym,board
clay,hypernym,dirt
carpeted,synonym,carpet
carpeted,hypernym,cover
frosting,synonym,icing
frosting,synonym,ice
frosting,hypernym,topping
next,synonym,following
cement,hypernym,concrete
chipped,synonym,chip
chipped,hypernym,part
rolled,synonym,roll
hilltop,hypernym,crown
hilltop,hypernym,top
middle,synonym,center
middle,synonym,heart
middle,synonym,eye
wine,hypernym,alcohol
sheer,synonym,cut
pocket,hypernym,pouch
frisbee,hypernym,toy
braided,synonym,lace
braided,hypernym,tissue
gray,synonym,grey
plush,hypernym,cloth
plush,hypernym,material
teal,hypernym,green
pineapple,hypernym,herb
jet,hypernym,airplane
jet,hypernym,plane
windshield,hypernym,screen
sculpted,synonym,sculpture
sculpted,hypernym,shape
tied,synonym,tie
keypad,hypernym,keyboard
shaggy,synonym,bushy
hat,synonym,lid
lion,hypernym,cat
diaper,synonym,napkin
diaper,hypernym,garment
island,hypernym,ground
pictured,synonym,fancy
pictured,synonym,figure
pictured,synonym,picture
ripe,synonym,mature
glove,synonym,mitt
dumpster,hypernym,container
parking,hypernym,room
teddy,hypernym,toy
rolling,synonym,roll
sandal,hypernym,shoe
trick,hypernym,device
waving,synonym,wave
walkway,hypernym,path
burrito,hypernym,dish
chopped,hypernym,cut
ramekin,hypernym,dish
basket,hypernym,container
stand,hypernym,support
below,synonym,beneath
gown,hypernym,dress
posing,synonym,sitting
iron,hypernym,metal
coming,synonym,approaching
caramel,hypernym,candy
hanging,hypernym,decoration
hanging,hypernym,ornament
grazing,hypernym,eating
grazing,hypernym,feeding
cheese,hypernym,food
mowed,hypernym,cut
mall,hypernym,walkway
simple,hypernym,herb
huge,synonym,vast
heel,hypernym,bottom
bear,hypernym,animal
elephant,hypernym,animal
horse,hypernym,animal
cow,hypernym,animal
deer,hypernym,animal
sheep,hypernym,animal
goat,hypernym,animal
bull,hypernym,animal
calf,hypernym,animal
lamb,hypernym,animal
cow,synonym,bull
sheep,synonym,lamb
antelope,hypernym,animal
bison,hypernym,animal
giraffe,hypernym,animal
rhino,hypernym,animal
zebra,hypernym,animal
panda,hypernym,animal
monkey,hypernym,animal
bunny,hypernym,animal
squirrel,hypernym,animal
frog,hypernym,animal
crab,hypernym,animal
duck,hypernym,bird
goose,hypernym,bird
pigeon,hypernym,bird
seagull,hypernym,bird
flamingo,hypernym,bird
swan,hypernym,bird
turkey,hypernym,bird
butterfly,hypernym,animal
apple,hypernym,fruit
avocado,hypernym,fruit
grape,hypernym,fruit
grapefruit,hypernym,fruit
lemon,hypernym,fruit
lime,hypernym,fruit
mango,hypernym,fruit
peach,hypernym,fruit
pear,hypernym,fruit
papaya,hypernym,fruit
pomegranate,hypernym,fruit
tangerine,hypernym,fruit
raisin,hypernym,fruit
raspberry,hypernym,fruit
broccoli,hypernym,vegetable
carrot,hypernym,vegetable
cauliflower,hypernym,vegetable
eggplant,hypernym,vegetable
garlic,hypernym,vegetable
mushroom,hypernym,vegetable
potato,hypernym,vegetable
tomato,hypernym,vegetable
zucchini,hypernym,vegetable
pea,hypernym,vegetable
bean,hypernym,vegetable
pepper,hypernym,vegetable
bacon,hypernym,meat
beef,hypernym,meat
chicken,hypernym,meat
ham,hypernym,meat
shrimp,hypernym,meat
fish,hypernym,meat
egg,hypernym,food
tofu,hypernym,food
hotdog,hypernym,food
stew,hypernym,food
macaroni,hypernym,food
brownie,hypernym,dessert
donut,hypernym,dessert
muffin,hypernym,dessert
cream,hypernym,food
feta,hypernym,cheese
ketchup,hypernym,sauce
mustard,hypernym,sauce
syrup,hypernym,food
honey,hypernym,food
oil,hypernym,liquid
juice,hypernym,drink
lemonade,hypernym,drink
beer,hypernym,alcohol
cinnamon,hypernym,spice
vanilla,hypernym,spice
blue,hypernym,color
orange,hypernym,color
pink,hypernym,color
purple,hypernym,color
yellow,hypernym,color
beige,hypernym,color
cream,hypernym,color
maroon,hypernym,color
navy,hypernym,color
tan,hypernym,color
bronze,hypernym,color
ivory,hypernym,color
neon,hypernym,color
pastel,hypernym,color
vibrant,hypernym,color
beard,hypernym,hair
mustache,hypernym,hair
ear,hypernym,body
elbow,hypernym,arm
knee,hypernym,leg
neck,hypernym,body
waist,hypernym,body
wrist,hypernym,arm
lip,hypernym,face
tongue,hypernym,mouth
boot,hypernym,shoe
cap,hypernym,hat
helmet,hypernym,hat
bikini,hypernym,swimsuit
jersey,hypernym,shirt
t-shirt,hypernym,shirt
sweatshirt,hypernym,shirt
uniform,hypernym,clothing
apron,hypernym,clothing
bandana,hypernym,clothing
belt,hypernym,clothing
necklace,hypernym,jewelry
goggle,hypernym,eyewear
sunglass,hypernym,eyewear
wetsuit,hypernym,clothing
snowsuit,hypernym,clothing
wallet,hypernym,container
aircraft,hypernym,vehicle
boat,hypernym,vehicle
truck,hypernym,vehicle
helicopter,hypernym,aircraft
sailboat,hypernym,boat
canoe,hypernym,boat
ship,hypernym,boat
scooter,hypernym,vehicle
tractor,hypernym,vehicle
trailer,hypernym,vehicle
van,hypernym,vehicle
knife,hypernym,tool
fork,hypernym,tool
scissors,hypernym,tool
ladder,hypernym,tool
broom,hypernym,tool
spatula,hypernym,tool
tong,hypernym,tool
ladle,hypernym,tool
cutter,hypernym,tool
chopstick,hypernym,utensil
toothpick,hypernym,tool
cane,hypernym,tool
hammer,hypernym,tool
bottle,hypernym,container
bucket,hypernym,container
canister,hypernym,container
carton,hypernym,container
mug,hypernym,cup
pitcher,hypernym,container
platter,hypernym,plate
saucer,hypernym,plate
tray,hypernym,container
toolbox,hypernym,box
bookcase,hypernym,furniture
cabinet,hypernym,furniture
dresser,hypernym,furniture
nightstand,hypernym,furniture
ottoman,hypernym,furniture
bed,hypernym,furniture
pillow,hypernym,bedding
pillowcase,hypernym,bedding
comforter,hypernym,bedding
mattres,hypernym,bedding
tablecloth,hypernym,cloth
placemat,hypernym,mat
barn,hypernym,building
cabin,hypernym,building
castle,hypernym,building
garage,hypernym,building
museum,hypernym,building
school,hypernym,building
hangar,hypernym,building
office,hypernym,building
pantry,hypernym,room
balcony,hypernym,room
hallway,hypernym,room
patio,hypernym,room
porch,hypernym,room
ceiling,hypernym,room
floor,hypernym,room
wall,hypernym,room
window,hypernym,room
dishwasher,hypernym,appliance
microwave,hypernym,appliance
toaster,hypernym,appliance
stove,hypernym,appliance
oven,hypernym,appliance
camera,hypernym,device
laptop,hypernym,computer
monitor,hypernym,screen
printer,hypernym,machine
projector,hypernym,device
microphone,hypernym,device
speaker,hypernym,device
router,hypernym,device
charger,hypernym,device
mouse,hypernym,device
touchpad,hypernym,device
brass,hypernym,metal
bronze,hypernym,metal
chrome,hypernym,metal
granite,hypernym,stone
cotton,hypernym,cloth
vinyl,hypernym,material
rubber,hypernym,material
foam,hypernym,material
mesh,hypernym,material
fluffy,synonym,soft
puffy,synonym,fluffy
furry,synonym,hairy
chubby,synonym,fat
skinny,synonym,thin
muscular,synonym,strong
sleepy,synonym,tired
calm,synonym,peaceful
beautiful,synonym,pretty
bright,synonym,shiny
colorful,synonym,bright
dark,synonym,black
transparent,synonym,clear
translucent,synonym,transparent
opaque,synonym,solid
cloudy,synonym,overcast
cloudless,synonym,clear
rainy,synonym,wet
stormy,synonym,rough
sunny,synonym,bright
sunlit,synonym,sunny
underneath,synonym,beneath
atop,synonym,on
beside,synonym,next
outdoor,synonym,outdoors
overhead,synonym,above
bending,synonym,bent
drinking,synonym,drinking
cooking,synonym,cooked
cleaning,synonym,clean
baking,synonym,cooked
fishing,synonym,fishing
jumping,synonym,jumping
reading,synonym,reading
shopping,synonym,shopping
skiing,synonym,ski
surfing,synonym,surf
tennis,synonym,tennis
baseball,synonym,baseball
soccer,synonym,soccer
tiny,synonym,small
huge,synonym,large
